state_id,true_label,true_violation,pred_label,pred_violation,correct,violation_correct,elapsed_s,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,content_trace,reasoning_trace
test_000070,LEGAL,,LEGAL,,1,,92.13,stop,33376,6462,6375,artifacts/gpt55_find_violations_plus_convention_traces/test_000070.content.txt,
test_000072,LEGAL,,LEGAL,,1,,98.42,stop,31161,6743,6657,artifacts/gpt55_find_violations_plus_convention_traces/test_000072.content.txt,
test_000074,LEGAL,,ILLEGAL,derivation_break,0,,57.96,stop,29063,4306,4234,artifacts/gpt55_find_violations_plus_convention_traces/test_000074.content.txt,
test_000076,LEGAL,,LEGAL,,1,,76.73,stop,33974,5613,5537,artifacts/gpt55_find_violations_plus_convention_traces/test_000076.content.txt,
test_000078,LEGAL,,LEGAL,,1,,64.5,stop,29787,4241,4175,artifacts/gpt55_find_violations_plus_convention_traces/test_000078.content.txt,
test_000080,LEGAL,,LEGAL,,1,,173.11,stop,32532,10712,10580,artifacts/gpt55_find_violations_plus_convention_traces/test_000080.content.txt,
test_000082,LEGAL,,LEGAL,,1,,123.23,stop,32624,7887,7779,artifacts/gpt55_find_violations_plus_convention_traces/test_000082.content.txt,
test_000084,LEGAL,,LEGAL,,1,,131.22,stop,34303,8297,8192,artifacts/gpt55_find_violations_plus_convention_traces/test_000084.content.txt,
test_000086,LEGAL,,LEGAL,,1,,105.59,stop,34753,6225,6145,artifacts/gpt55_find_violations_plus_convention_traces/test_000086.content.txt,
test_000088,LEGAL,,LEGAL,,1,,126.3,stop,32082,7154,7061,artifacts/gpt55_find_violations_plus_convention_traces/test_000088.content.txt,
test_000090,LEGAL,,LEGAL,,1,,82.57,stop,28898,4362,4300,artifacts/gpt55_find_violations_plus_convention_traces/test_000090.content.txt,
test_000092,LEGAL,,LEGAL,,1,,129.84,stop,28462,8711,8600,artifacts/gpt55_find_violations_plus_convention_traces/test_000092.content.txt,
test_000094,LEGAL,,LEGAL,,1,,74.85,stop,27604,5315,5239,artifacts/gpt55_find_violations_plus_convention_traces/test_000094.content.txt,
test_000096,LEGAL,,LEGAL,,1,,90.8,stop,31386,5493,5418,artifacts/gpt55_find_violations_plus_convention_traces/test_000096.content.txt,
test_000098,LEGAL,,LEGAL,,1,,95.19,stop,27780,5814,5730,artifacts/gpt55_find_violations_plus_convention_traces/test_000098.content.txt,
