state_id,true_label,true_violation,pred_label,pred_violation,correct,violation_correct,elapsed_s,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,content_trace,reasoning_trace
test_000022,LEGAL,,ILLEGAL,transition_break,0,,41.25,stop,31093,2136,2090,artifacts/gpt55_n100_high_findv_azure_traces/test_000022.content.txt,
test_000023,ILLEGAL,cardinality_break,ILLEGAL,transition_break,1,0,49.5,stop,31093,2606,2560,artifacts/gpt55_n100_high_findv_azure_traces/test_000023.content.txt,
test_000024,LEGAL,,ILLEGAL,transition_break,0,,68.94,stop,32552,3642,3583,artifacts/gpt55_n100_high_findv_azure_traces/test_000024.content.txt,
test_000025,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,10.37,stop,32552,534,512,artifacts/gpt55_n100_high_findv_azure_traces/test_000025.content.txt,
test_000026,LEGAL,,ILLEGAL,transition_break,0,,52.57,stop,31340,3124,3072,artifacts/gpt55_n100_high_findv_azure_traces/test_000026.content.txt,
test_000027,ILLEGAL,derivation_break,ILLEGAL,transition_break,1,0,60.96,stop,31377,2917,2864,artifacts/gpt55_n100_high_findv_azure_traces/test_000027.content.txt,
test_000028,LEGAL,,ILLEGAL,transition_break,0,,27.41,stop,38163,1309,1275,artifacts/gpt55_n100_high_findv_azure_traces/test_000028.content.txt,
test_000029,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,10.87,stop,38163,534,512,artifacts/gpt55_n100_high_findv_azure_traces/test_000029.content.txt,
test_000030,LEGAL,,ILLEGAL,transition_break,0,,30.25,stop,31418,1570,1536,artifacts/gpt55_n100_high_findv_azure_traces/test_000030.content.txt,
test_000031,ILLEGAL,derivation_break,ILLEGAL,derivation_break,1,1,156.45,stop,31452,9265,9141,artifacts/gpt55_n100_high_findv_azure_traces/test_000031.content.txt,
test_000032,LEGAL,,ILLEGAL,transition_break,0,,20.65,stop,33031,1045,1017,artifacts/gpt55_n100_high_findv_azure_traces/test_000032.content.txt,
test_000033,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,11.08,stop,33031,534,512,artifacts/gpt55_n100_high_findv_azure_traces/test_000033.content.txt,
test_000034,LEGAL,,ILLEGAL,transition_break,0,,55.06,stop,33617,3107,3054,artifacts/gpt55_n100_high_findv_azure_traces/test_000034.content.txt,
test_000035,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,74.08,stop,33618,4031,3967,artifacts/gpt55_n100_high_findv_azure_traces/test_000035.content.txt,
test_000036,LEGAL,,ILLEGAL,transition_break,0,,34.64,stop,32907,1570,1536,artifacts/gpt55_n100_high_findv_azure_traces/test_000036.content.txt,
test_000037,ILLEGAL,derivation_break,ILLEGAL,derivation_break,1,1,136.18,stop,32944,7751,7642,artifacts/gpt55_n100_high_findv_azure_traces/test_000037.content.txt,
test_000038,LEGAL,,ILLEGAL,transition_break,0,,27.0,stop,31804,1417,1384,artifacts/gpt55_n100_high_findv_azure_traces/test_000038.content.txt,
test_000039,ILLEGAL,derivation_break,ILLEGAL,transition_break,1,0,24.8,stop,31834,1563,1529,artifacts/gpt55_n100_high_findv_azure_traces/test_000039.content.txt,
test_000040,LEGAL,,ILLEGAL,transition_break,0,,77.15,stop,31999,5141,5065,artifacts/gpt55_n100_high_findv_azure_traces/test_000040.content.txt,
test_000041,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,11.38,stop,31999,534,512,artifacts/gpt55_n100_high_findv_azure_traces/test_000041.content.txt,
test_000042,LEGAL,,ILLEGAL,transition_break,0,,24.78,stop,32731,1205,1171,artifacts/gpt55_n100_high_findv_azure_traces/test_000042.content.txt,
test_000043,ILLEGAL,derivation_break,ILLEGAL,transition_break,1,0,28.0,stop,32765,1570,1536,artifacts/gpt55_n100_high_findv_azure_traces/test_000043.content.txt,
test_000044,LEGAL,,ILLEGAL,transition_break,0,,56.79,stop,33150,2803,2752,artifacts/gpt55_n100_high_findv_azure_traces/test_000044.content.txt,
test_000045,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,10.74,stop,33151,534,512,artifacts/gpt55_n100_high_findv_azure_traces/test_000045.content.txt,
test_000046,LEGAL,,ILLEGAL,transition_break,0,,32.96,stop,29030,1726,1686,artifacts/gpt55_n100_high_findv_azure_traces/test_000046.content.txt,
test_000047,ILLEGAL,cardinality_break,ILLEGAL,cardinality_break,1,1,147.55,stop,29030,8790,8671,artifacts/gpt55_n100_high_findv_azure_traces/test_000047.content.txt,
test_000048,LEGAL,,ILLEGAL,transition_break,0,,70.21,stop,32800,3610,3553,artifacts/gpt55_n100_high_findv_azure_traces/test_000048.content.txt,
test_000049,ILLEGAL,cardinality_break,ILLEGAL,transition_break,1,0,11.31,stop,32800,534,512,artifacts/gpt55_n100_high_findv_azure_traces/test_000049.content.txt,
test_000050,LEGAL,,ILLEGAL,transition_break,0,,10.52,stop,30042,534,512,artifacts/gpt55_n100_high_findv_azure_traces/test_000050.content.txt,
test_000051,ILLEGAL,cardinality_break,ILLEGAL,cardinality_break,1,1,72.85,stop,30040,4161,4095,artifacts/gpt55_n100_high_findv_azure_traces/test_000051.content.txt,
test_000052,LEGAL,,ILLEGAL,transition_break,0,,52.36,stop,30289,3124,3072,artifacts/gpt55_n100_high_findv_azure_traces/test_000052.content.txt,
test_000053,ILLEGAL,cardinality_break,ILLEGAL,transition_break,1,0,90.41,stop,30289,5196,5120,artifacts/gpt55_n100_high_findv_azure_traces/test_000053.content.txt,
test_000054,LEGAL,,ILLEGAL,transition_break,0,,73.86,stop,32313,5196,5118,artifacts/gpt55_n100_high_findv_azure_traces/test_000054.content.txt,
test_000055,ILLEGAL,derivation_break,ILLEGAL,derivation_break,1,1,79.06,stop,32348,5197,5119,artifacts/gpt55_n100_high_findv_azure_traces/test_000055.content.txt,
test_000056,LEGAL,,ILLEGAL,transition_break,0,,33.97,stop,36025,2088,2048,artifacts/gpt55_n100_high_findv_azure_traces/test_000056.content.txt,
test_000057,ILLEGAL,derivation_break,ILLEGAL,transition_break,1,0,10.44,stop,36062,534,512,artifacts/gpt55_n100_high_findv_azure_traces/test_000057.content.txt,
test_000058,LEGAL,,ILLEGAL,transition_break,0,,96.21,stop,29392,5040,4962,artifacts/gpt55_n100_high_findv_azure_traces/test_000058.content.txt,
test_000059,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,41.16,stop,29392,2382,2335,artifacts/gpt55_n100_high_findv_azure_traces/test_000059.content.txt,
test_000060,LEGAL,,ILLEGAL,transition_break,0,,37.12,stop,29864,2048,2007,artifacts/gpt55_n100_high_findv_azure_traces/test_000060.content.txt,
test_000061,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,47.37,stop,29864,2669,2616,artifacts/gpt55_n100_high_findv_azure_traces/test_000061.content.txt,
test_000062,LEGAL,,ILLEGAL,transition_break,0,,19.26,stop,35558,1052,1024,artifacts/gpt55_n100_high_findv_azure_traces/test_000062.content.txt,
test_000063,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,58.82,stop,35558,3378,3320,artifacts/gpt55_n100_high_findv_azure_traces/test_000063.content.txt,
test_000064,LEGAL,,ILLEGAL,transition_break,0,,33.48,stop,32786,1570,1536,artifacts/gpt55_n100_high_findv_azure_traces/test_000064.content.txt,
test_000065,ILLEGAL,derivation_break,ILLEGAL,derivation_break,1,1,129.73,stop,32820,8305,8193,artifacts/gpt55_n100_high_findv_azure_traces/test_000065.content.txt,
test_000066,LEGAL,,ILLEGAL,transition_break,0,,53.63,stop,26675,2948,2894,artifacts/gpt55_n100_high_findv_azure_traces/test_000066.content.txt,
test_000067,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,27.67,stop,26675,1570,1537,artifacts/gpt55_n100_high_findv_azure_traces/test_000067.content.txt,
test_000068,LEGAL,,ILLEGAL,transition_break,0,,10.82,stop,34510,534,512,artifacts/gpt55_n100_high_findv_azure_traces/test_000068.content.txt,
test_000069,ILLEGAL,cardinality_break,ILLEGAL,cardinality_break,1,1,110.72,stop,34511,6742,6647,artifacts/gpt55_n100_high_findv_azure_traces/test_000069.content.txt,
test_000070,LEGAL,,ILLEGAL,transition_break,0,,53.95,stop,33338,3343,3284,artifacts/gpt55_n100_high_findv_azure_traces/test_000070.content.txt,
test_000071,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,10.39,stop,33338,534,512,artifacts/gpt55_n100_high_findv_azure_traces/test_000071.content.txt,
test_000072,LEGAL,,ILLEGAL,transition_break,0,,41.33,stop,31123,2422,2376,artifacts/gpt55_n100_high_findv_azure_traces/test_000072.content.txt,
test_000073,ILLEGAL,derivation_break,ILLEGAL,derivation_break,1,1,88.88,stop,31153,5703,5618,artifacts/gpt55_n100_high_findv_azure_traces/test_000073.content.txt,
test_000074,LEGAL,,ILLEGAL,transition_break,0,,10.07,stop,29025,534,512,artifacts/gpt55_n100_high_findv_azure_traces/test_000074.content.txt,
test_000075,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,56.99,stop,29025,3509,3449,artifacts/gpt55_n100_high_findv_azure_traces/test_000075.content.txt,
test_000076,LEGAL,,ILLEGAL,transition_break,0,,79.89,stop,33936,5367,5285,artifacts/gpt55_n100_high_findv_azure_traces/test_000076.content.txt,
test_000077,ILLEGAL,derivation_break,ILLEGAL,derivation_break,1,1,92.32,stop,33968,5715,5631,artifacts/gpt55_n100_high_findv_azure_traces/test_000077.content.txt,
test_000078,LEGAL,,ILLEGAL,transition_break,0,,9.85,stop,29749,534,512,artifacts/gpt55_n100_high_findv_azure_traces/test_000078.content.txt,
test_000079,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,54.06,stop,29749,3124,3072,artifacts/gpt55_n100_high_findv_azure_traces/test_000079.content.txt,
test_000080,LEGAL,,ILLEGAL,transition_break,0,,22.52,stop,32494,1281,1247,artifacts/gpt55_n100_high_findv_azure_traces/test_000080.content.txt,
test_000081,ILLEGAL,derivation_break,ILLEGAL,transition_break,1,0,8.73,stop,32526,448,426,artifacts/gpt55_n100_high_findv_azure_traces/test_000081.content.txt,
test_000082,LEGAL,,ILLEGAL,transition_break,0,,57.42,stop,32586,4340,4269,artifacts/gpt55_n100_high_findv_azure_traces/test_000082.content.txt,
test_000083,ILLEGAL,derivation_break,ILLEGAL,derivation_break,1,1,106.31,stop,32624,7138,7035,artifacts/gpt55_n100_high_findv_azure_traces/test_000083.content.txt,
test_000084,LEGAL,,ILLEGAL,transition_break,0,,22.03,stop,34265,1307,1273,artifacts/gpt55_n100_high_findv_azure_traces/test_000084.content.txt,
test_000085,ILLEGAL,cardinality_break,ILLEGAL,cardinality_break,1,1,81.06,stop,34265,5197,5120,artifacts/gpt55_n100_high_findv_azure_traces/test_000085.content.txt,
test_000086,LEGAL,,ILLEGAL,transition_break,0,,60.22,stop,34715,4270,4199,artifacts/gpt55_n100_high_findv_azure_traces/test_000086.content.txt,
test_000087,ILLEGAL,derivation_break,ILLEGAL,transition_break,1,0,9.94,stop,34749,534,512,artifacts/gpt55_n100_high_findv_azure_traces/test_000087.content.txt,
test_000088,LEGAL,,ILLEGAL,transition_break,0,,27.07,stop,32044,1570,1535,artifacts/gpt55_n100_high_findv_azure_traces/test_000088.content.txt,
test_000089,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,17.03,stop,32044,1051,1023,artifacts/gpt55_n100_high_findv_azure_traces/test_000089.content.txt,
test_000090,LEGAL,,ILLEGAL,transition_break,0,,44.52,stop,28860,2871,2819,artifacts/gpt55_n100_high_findv_azure_traces/test_000090.content.txt,
test_000091,ILLEGAL,cardinality_break,ILLEGAL,cardinality_break,1,1,51.59,stop,28859,3125,3071,artifacts/gpt55_n100_high_findv_azure_traces/test_000091.content.txt,
test_000092,LEGAL,,ILLEGAL,transition_break,0,,27.09,stop,28424,1813,1773,artifacts/gpt55_n100_high_findv_azure_traces/test_000092.content.txt,
test_000093,ILLEGAL,cardinality_break,ILLEGAL,cardinality_break,1,1,95.06,stop,28424,6164,6077,artifacts/gpt55_n100_high_findv_azure_traces/test_000093.content.txt,
test_000094,LEGAL,,ILLEGAL,transition_break,0,,17.44,stop,27566,1052,1024,artifacts/gpt55_n100_high_findv_azure_traces/test_000094.content.txt,
test_000095,ILLEGAL,derivation_break,ILLEGAL,derivation_break,1,1,159.19,stop,27595,9807,9675,artifacts/gpt55_n100_high_findv_azure_traces/test_000095.content.txt,
test_000096,LEGAL,,ILLEGAL,transition_break,0,,27.19,stop,31348,1570,1536,artifacts/gpt55_n100_high_findv_azure_traces/test_000096.content.txt,
test_000097,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,30.05,stop,31348,1974,1933,artifacts/gpt55_n100_high_findv_azure_traces/test_000097.content.txt,
test_000098,LEGAL,,ILLEGAL,transition_break,0,,43.78,stop,27742,2606,2561,artifacts/gpt55_n100_high_findv_azure_traces/test_000098.content.txt,
test_000099,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,20.69,stop,27743,1052,1024,artifacts/gpt55_n100_high_findv_azure_traces/test_000099.content.txt,
