state_id,true_label,true_violation,pred_label,pred_violation,correct,violation_correct,elapsed_s,finish_reason,n_tool_calls,prompt_tokens,completion_tokens,reasoning_tokens,transcript_trace
test_000054,LEGAL,,ILLEGAL,transition_break,0,,9.27,stop,5,3765,603,272,artifacts/gpt55_n100_tools_findv_azure_traces/test_000054.transcript.json
test_000055,ILLEGAL,derivation_break,ILLEGAL,transition_break,1,0,5.87,stop,5,3740,387,79,artifacts/gpt55_n100_tools_findv_azure_traces/test_000055.transcript.json
test_000056,LEGAL,,ILLEGAL,transition_break,0,,6.17,stop,5,3737,382,77,artifacts/gpt55_n100_tools_findv_azure_traces/test_000056.transcript.json
test_000057,ILLEGAL,derivation_break,ILLEGAL,transition_break,1,0,7.88,stop,5,3765,533,201,artifacts/gpt55_n100_tools_findv_azure_traces/test_000057.transcript.json
test_000058,LEGAL,,ILLEGAL,transition_break,0,,15.86,stop,5,4238,1235,466,artifacts/gpt55_n100_tools_findv_azure_traces/test_000058.transcript.json
test_000059,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,12.91,stop,5,4203,1084,374,artifacts/gpt55_n100_tools_findv_azure_traces/test_000059.transcript.json
test_000060,LEGAL,,ILLEGAL,transition_break,0,,5.89,stop,5,3766,424,93,artifacts/gpt55_n100_tools_findv_azure_traces/test_000060.transcript.json
test_000061,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,5.58,stop,5,3767,415,82,artifacts/gpt55_n100_tools_findv_azure_traces/test_000061.transcript.json
test_000062,LEGAL,,ILLEGAL,transition_break,0,,4.82,stop,4,3635,291,52,artifacts/gpt55_n100_tools_findv_azure_traces/test_000062.transcript.json
test_000063,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,7.34,stop,5,3742,361,52,artifacts/gpt55_n100_tools_findv_azure_traces/test_000063.transcript.json
test_000064,LEGAL,,ILLEGAL,transition_break,0,,12.72,stop,5,3770,553,219,artifacts/gpt55_n100_tools_findv_azure_traces/test_000064.transcript.json
test_000065,ILLEGAL,derivation_break,ILLEGAL,transition_break,1,0,9.12,stop,5,3761,587,259,artifacts/gpt55_n100_tools_findv_azure_traces/test_000065.transcript.json
test_000066,LEGAL,,ILLEGAL,transition_break,0,,8.46,stop,6,3827,580,228,artifacts/gpt55_n100_tools_findv_azure_traces/test_000066.transcript.json
test_000067,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,11.38,stop,4,3996,825,270,artifacts/gpt55_n100_tools_findv_azure_traces/test_000067.transcript.json
test_000068,LEGAL,,ILLEGAL,transition_break,0,,9.01,stop,4,3850,653,262,artifacts/gpt55_n100_tools_findv_azure_traces/test_000068.transcript.json
test_000069,ILLEGAL,cardinality_break,ILLEGAL,cardinality_break,1,1,11.56,stop,5,3968,715,397,artifacts/gpt55_n100_tools_findv_azure_traces/test_000069.transcript.json
test_000070,LEGAL,,ILLEGAL,transition_break,0,,10.47,stop,6,3812,743,389,artifacts/gpt55_n100_tools_findv_azure_traces/test_000070.transcript.json
test_000071,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,9.32,stop,5,3759,558,232,artifacts/gpt55_n100_tools_findv_azure_traces/test_000071.transcript.json
test_000072,LEGAL,,ILLEGAL,transition_break,0,,15.15,stop,5,4226,1204,442,artifacts/gpt55_n100_tools_findv_azure_traces/test_000072.transcript.json
test_000073,ILLEGAL,derivation_break,ILLEGAL,transition_break,1,0,6.48,stop,5,3783,439,100,artifacts/gpt55_n100_tools_findv_azure_traces/test_000073.transcript.json
test_000074,LEGAL,,ILLEGAL,transition_break,0,,6.34,stop,5,3819,407,92,artifacts/gpt55_n100_tools_findv_azure_traces/test_000074.transcript.json
test_000075,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,10.26,stop,5,3769,689,354,artifacts/gpt55_n100_tools_findv_azure_traces/test_000075.transcript.json
test_000076,LEGAL,,ILLEGAL,transition_break,0,,7.94,stop,4,3999,668,107,artifacts/gpt55_n100_tools_findv_azure_traces/test_000076.transcript.json
test_000077,ILLEGAL,derivation_break,ILLEGAL,transition_break,1,0,5.87,stop,5,3823,401,84,artifacts/gpt55_n100_tools_findv_azure_traces/test_000077.transcript.json
test_000078,LEGAL,,ILLEGAL,transition_break,0,,10.7,stop,5,3769,701,368,artifacts/gpt55_n100_tools_findv_azure_traces/test_000078.transcript.json
test_000079,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,9.93,stop,5,3893,661,344,artifacts/gpt55_n100_tools_findv_azure_traces/test_000079.transcript.json
test_000080,LEGAL,,ILLEGAL,transition_break,0,,9.04,stop,5,3757,602,276,artifacts/gpt55_n100_tools_findv_azure_traces/test_000080.transcript.json
test_000081,ILLEGAL,derivation_break,ILLEGAL,transition_break,1,0,11.38,stop,4,3807,719,358,artifacts/gpt55_n100_tools_findv_azure_traces/test_000081.transcript.json
test_000082,LEGAL,,ILLEGAL,transition_break,0,,6.55,stop,5,3760,458,131,artifacts/gpt55_n100_tools_findv_azure_traces/test_000082.transcript.json
test_000083,ILLEGAL,derivation_break,ILLEGAL,transition_break,1,0,13.48,stop,5,3758,847,524,artifacts/gpt55_n100_tools_findv_azure_traces/test_000083.transcript.json
test_000084,LEGAL,,ILLEGAL,transition_break,0,,6.6,stop,5,3824,391,73,artifacts/gpt55_n100_tools_findv_azure_traces/test_000084.transcript.json
test_000085,ILLEGAL,cardinality_break,ILLEGAL,cardinality_break,1,1,10.61,stop,5,3753,729,408,artifacts/gpt55_n100_tools_findv_azure_traces/test_000085.transcript.json
test_000086,LEGAL,,ILLEGAL,transition_break,0,,6.45,stop,5,3762,433,103,artifacts/gpt55_n100_tools_findv_azure_traces/test_000086.transcript.json
test_000087,ILLEGAL,derivation_break,ILLEGAL,transition_break,1,0,9.96,stop,5,3767,638,306,artifacts/gpt55_n100_tools_findv_azure_traces/test_000087.transcript.json
test_000088,LEGAL,,ILLEGAL,transition_break,0,,10.03,stop,4,3817,655,289,artifacts/gpt55_n100_tools_findv_azure_traces/test_000088.transcript.json
test_000089,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,12.81,stop,4,4157,1028,302,artifacts/gpt55_n100_tools_findv_azure_traces/test_000089.transcript.json
test_000090,LEGAL,,ILLEGAL,transition_break,0,,12.91,stop,5,3889,820,505,artifacts/gpt55_n100_tools_findv_azure_traces/test_000090.transcript.json
test_000091,ILLEGAL,cardinality_break,ILLEGAL,transition_break,1,0,7.86,stop,5,3767,454,122,artifacts/gpt55_n100_tools_findv_azure_traces/test_000091.transcript.json
test_000092,LEGAL,,ILLEGAL,transition_break,0,,13.58,stop,5,4174,1056,342,artifacts/gpt55_n100_tools_findv_azure_traces/test_000092.transcript.json
test_000093,ILLEGAL,cardinality_break,ILLEGAL,cardinality_break,1,1,12.94,stop,5,3756,803,480,artifacts/gpt55_n100_tools_findv_azure_traces/test_000093.transcript.json
test_000094,LEGAL,,ILLEGAL,transition_break,0,,8.45,stop,5,3753,541,222,artifacts/gpt55_n100_tools_findv_azure_traces/test_000094.transcript.json
test_000095,ILLEGAL,derivation_break,ILLEGAL,transition_break,1,0,7.54,stop,5,3758,460,133,artifacts/gpt55_n100_tools_findv_azure_traces/test_000095.transcript.json
test_000096,LEGAL,,ILLEGAL,transition_break,0,,9.79,stop,5,3757,631,305,artifacts/gpt55_n100_tools_findv_azure_traces/test_000096.transcript.json
test_000097,ILLEGAL,transition_break,ILLEGAL,transition_break,1,1,9.09,stop,5,3760,585,258,artifacts/gpt55_n100_tools_findv_azure_traces/test_000097.transcript.json
test_000098,LEGAL,,ILLEGAL,transition_break,0,,11.52,stop,5,4213,901,155,artifacts/gpt55_n100_tools_findv_azure_traces/test_000098.transcript.json
test_000099,ILLEGAL,fk_break,ILLEGAL,fk_break,1,1,6.33,stop,5,3762,396,66,artifacts/gpt55_n100_tools_findv_azure_traces/test_000099.transcript.json
